id,buildDate,m2,min_sales,max_sales,avg_sales
2766,200006,139,60100.0,62000.0,61000.0
5860,200105,105,48600.0,52200.0,51000.0
15564,200502,86,36000.0,46000.0,40500.0
3700,199509,102,34000.0,34800.0,34500.0
6204,200306,91,27900.0,50300.0,40000.0
3697,200004,84,29200.0,39000.0,34500.0
19203,200905,126,36500.0,64600.0,63000.0
3699,199704,84,24300.0,40400.0,31000.0
948,199811,54,17100.0,26600.0,23500.0
15206,199810,53,15800.0,26000.0,22500.0
19851,200911,79,36900.0,41200.0,40000.0
10023,200411,90,34000.0,46800.0,44500.0
19850,200911,110,38700.0,40200.0,39500.0
3702,199510,102,30700.0,31100.0,31000.0
6705,200411,103,42500.0,45000.0,43000.0
2808,199410,59,13800.0,41500.0,30000.0
19849,200908,75,24100.0,39100.0,28500.0
21230,200212,109,33500.0,34400.0,34000.0
19848,200908,78,24300.0,40900.0,29500.0
3701,200006,76,33400.0,41500.0,38500.0
22483,200402,48,10500.0,25900.0,21000.0
13915,200205,76,24600.0,24900.0,24500.0
118,199112,101,27800.0,28100.0,28000.0
10246,200506,106,31400.0,31400.0,31500.0
14961,199711,97,35100.0,38000.0,36500.0
932,199011,104,27400.0,27400.0,27500.0
5404,199909,84,28100.0,28500.0,28000.0
577,198710,97,23400.0,26500.0,24500.0
1021,198904,58,13600.0,39100.0,19000.0
2763,200606,85,19400.0,24400.0,21500.0
26666,199901,91,17500.0,47500.0,27000.0
2806,199506,84,22000.0,33000.0,30500.0
2804,199304,102,28700.0,28700.0,28500.0
6054,200207,81,25300.0,56200.0,32000.0
4366,199505,102,34500.0,35200.0,34500.0
9948,200212,106,32800.0,33900.0,33500.0
2840,198904,58,13600.0,21200.0,17500.0
2762,199602,74,20000.0,36900.0,25000.0
1437,199904,102,33300.0,34200.0,34000.0
1284,199509,95,26700.0,31700.0,31000.0
7543,200410,100,30000.0,33800.0,33500.0
58188,200311,74,27200.0,32400.0,30000.0
6012,200303,113,33000.0,52100.0,40000.0
6702,199610,79,26400.0,29600.0,28000.0
5536,199005,83,24300.0,26100.0,25500.0
1445,199507,102,24000.0,24000.0,24000.0
2892,198703,63,17000.0,37200.0,22500.0
9155,200502,79,33000.0,40700.0,37000.0
3734,199812,81,18900.0,44500.0,28000.0
12106,200207,105,28400.0,28400.0,28500.0
2805,199312,85,29900.0,30600.0,30000.0
12370,200201,92,25000.0,35000.0,25500.0
20215,201012,108,28400.0,34900.0,30000.0
2811,198810,58,15200.0,34200.0,21000.0
5535,198805,64,15400.0,24600.0,20000.0
2946,199610,56,15100.0,18600.0,17500.0
2841,198809,63,15900.0,37400.0,21500.0
2803,199911,83,25400.0,50600.0,34000.0
1388,199912,81,22400.0,53400.0,33500.0
38231,202001,64,36000.0,84000.0,46000.0
5534,198806,45,15400.0,34100.0,25500.0
10455,200106,106,36000.0,36000.0,36000.0
50365,202011,67,45000.0,95000.0,66500.0
2810,198809,58,15200.0,35300.0,23500.0
2765,198908,81,25200.0,34500.0,29000.0
2875,198810,58,15100.0,33100.0,22000.0
2809,198809,52,15400.0,28600.0,21000.0
3698,200003,84,26400.0,41600.0,35000.0
10454,200106,70,20200.0,25800.0,22500.0
2768,198905,52,11900.0,32300.0,20500.0
6118,200212,82,33000.0,62400.0,46000.0
2941,199507,79,20500.0,40800.0,36500.0
13922,199807,79,22100.0,44800.0,30000.0
6013,200210,122,47600.0,53300.0,50500.0
5692,200110,80,35200.0,79800.0,48000.0
2089,199901,78,19300.0,30500.0,23000.0
7531,199811,79,17900.0,38600.0,23000.0
7530,200311,98,23500.0,45800.0,36500.0
81826,201701,23,8200.0,13200.0,8300.0
69197,200801,73,19500.0,25500.0,23000.0
17235,200511,111,11000.0,11000.0,11000.0
17018,200508,107,43500.0,43500.0,43500.0
24572,201301,76,22500.0,45400.0,31500.0
9151,200504,52,17500.0,65500.0,37500.0
460,199311,84,24600.0,40300.0,33500.0
5864,200507,76,28000.0,29600.0,29000.0
7116,199402,71,22700.0,42100.0,34500.0
18705,200906,112,49300.0,49300.0,49500.0
7121,198312,81,10000.0,11000.0,10500.0
5576,199812,80,29900.0,30300.0,30000.0
6485,199705,83,30200.0,32000.0,31000.0
24755,201308,42,21000.0,45800.0,40000.0
12060,198112,72,13400.0,20000.0,15000.0
79846,201907,56,27500.0,27500.0,27500.0
4211,200111,82,37600.0,56500.0,44000.0
18704,200906,112,50900.0,51300.0,51000.0
13989,198904,54,11500.0,14500.0,13000.0
7117,199807,99,32800.0,36500.0,33500.0
4206,200007,66,19600.0,44700.0,32000.0
10250,200406,79,35800.0,36900.0,36500.0
6055,200207,78,32700.0,47900.0,38500.0
9884,200208,75,32000.0,57600.0,39500.0
6207,200307,105,42900.0,42900.0,43000.0
1385,199212,102,30300.0,30300.0,30500.0
1332,198612,71,20800.0,31600.0,26000.0
22069,201404,77,33100.0,59000.0,43000.0
26350,197510,50,8500.0,16600.0,14000.0
15207,200612,76,30000.0,67000.0,36500.0
4344,199705,85,21900.0,52300.0,27500.0
836,199712,83,19700.0,24500.0,21000.0
116,199203,90,28600.0,43900.0,30000.0
4395,199510,80,29500.0,30400.0,30000.0
17512,200704,76,37000.0,53000.0,46000.0
6015,200207,113,29400.0,55600.0,48500.0
17506,200801,86,38200.0,44700.0,43500.0
231,199511,76,26200.0,34300.0,31500.0
20026,200505,110,31000.0,31000.0,31000.0
4368,199909,67,24100.0,29200.0,26500.0
5644,200109,82,31200.0,43600.0,37000.0
6664,200211,74,34300.0,36600.0,36000.0
314,198705,88,21100.0,26700.0,24500.0
144,199806,81,28100.0,39300.0,34000.0
120,199608,75,30300.0,31200.0,30500.0
6629,200404,109,46000.0,50700.0,49500.0
51865,201506,52,20000.0,31600.0,28000.0
11507,199506,95,25400.0,29500.0,28500.0
5862,200010,75,28500.0,36000.0,32500.0
84580,202012,59,34500.0,50000.0,36000.0
4371,199904,82,23300.0,34600.0,27500.0
15652,200611,78,35900.0,63400.0,46500.0
7115,199007,60,17000.0,21400.0,19000.0
785,199807,54,13500.0,23000.0,19500.0
16871,200603,77,16500.0,35200.0,27000.0
1064,199104,56,16400.0,29200.0,23000.0
5759,200110,202,46400.0,65100.0,56000.0
68670,200112,70,15500.0,22000.0,21000.0
14469,200510,80,31400.0,34800.0,33500.0
20629,198712,56,13000.0,19500.0,17000.0
7122,199510,95,33300.0,34000.0,34000.0
6435,200406,75,26000.0,42700.0,35000.0
13983,199610,77,19300.0,36000.0,26500.0
9865,200509,109,40400.0,40400.0,40500.0
3871,200307,81,26300.0,44300.0,34000.0
11093,200506,92,34900.0,49500.0,43500.0
4342,199502,77,25700.0,41200.0,34000.0
10868,199711,55,14600.0,20400.0,18000.0
10249,200412,43,16000.0,42100.0,34000.0
1340,200203,95,34700.0,36300.0,34500.0
2920,199804,55,12800.0,22100.0,18500.0
4204,199602,75,28200.0,38800.0,31500.0
9149,200409,78,31900.0,39000.0,33000.0
150,198812,56,15800.0,16200.0,16000.0
7140,199205,147,32000.0,32000.0,32000.0
11979,200903,90,36500.0,36500.0,36500.0
900,199309,104,29500.0,30000.0,30000.0
4205,199706,71,23800.0,29500.0,26500.0
4348,199208,135,32600.0,55600.0,41000.0
2169,199909,81,23800.0,34100.0,28500.0
38663,201902,42,21000.0,33500.0,29500.0
3760,198803,62,15000.0,28700.0,17000.0
1339,199105,87,25100.0,54900.0,28000.0
13985,200106,84,29800.0,32300.0,30500.0
1140,199506,86,24800.0,31000.0,30500.0
12320,200603,77,27300.0,37600.0,35000.0
4341,199501,84,17500.0,28300.0,22000.0
143,199112,85,22600.0,36900.0,30500.0
1341,199309,82,23400.0,32700.0,30500.0
1326,199211,100,30400.0,30400.0,30500.0
2962,199207,73,22800.0,30500.0,27000.0
1337,198811,38,13100.0,28200.0,19500.0
2947,199009,57,16500.0,27100.0,20500.0
2171,199808,79,32300.0,43600.0,36500.0
3872,200011,80,35700.0,40400.0,39500.0
4299,199804,83,22300.0,37700.0,31000.0
2170,200002,82,22000.0,31500.0,24500.0
1053,199009,58,16500.0,32500.0,24000.0
644,198910,86,28400.0,32500.0,31000.0
2960,199806,78,24700.0,32700.0,28000.0
14962,198812,71,14500.0,21500.0,17000.0
743,199209,88,27800.0,49200.0,35500.0
1043,199007,52,14700.0,22700.0,18000.0
554,198812,55,12900.0,34900.0,23000.0
4343,199010,56,14600.0,30500.0,27000.0
2172,200006,82,23100.0,31900.0,27500.0
1432,199311,101,31400.0,31400.0,31500.0
4512,198711,60,15500.0,36600.0,28000.0
6002,200408,74,27600.0,42600.0,35500.0
744,199209,93,29500.0,29900.0,29500.0
10951,200511,64,25900.0,25900.0,26000.0
142,199009,48,15900.0,33400.0,24500.0
13932,198802,63,16800.0,33500.0,23000.0
12061,199812,86,29000.0,35900.0,31500.0
8139,200005,79,29500.0,40500.0,34500.0
4301,199906,259,70900.0,71600.0,71000.0
462,199109,63,19400.0,34000.0,24000.0
2173,200012,79,24500.0,29800.0,28000.0
24848,200403,52,9000.0,45500.0,32000.0
740,198612,62,13300.0,45700.0,23000.0
5863,199810,85,29800.0,49000.0,37000.0
38154,201909,62,39500.0,96000.0,60000.0
19691,201110,84,34800.0,58000.0,48000.0
1141,199607,105,31600.0,31600.0,31500.0
6237,200401,113,43500.0,74100.0,49500.0
16932,200707,105,45600.0,47000.0,46500.0
5686,200405,81,33500.0,41600.0,38000.0
6168,200310,95,45000.0,52000.0,46000.0
241,198908,59,12400.0,15200.0,14500.0
12324,200311,63,21900.0,23300.0,22500.0
79328,201906,58,39700.0,48900.0,45000.0
36409,201702,83,39800.0,66200.0,47000.0
6206,200309,78,34900.0,64000.0,48500.0
5373,200105,89,23700.0,23700.0,23500.0
6288,200407,112,51400.0,74500.0,55500.0
9079,200512,79,26400.0,45900.0,35500.0
37079,201710,76,46800.0,72000.0,52000.0
3834,199905,71,21000.0,38100.0,27000.0
11143,200212,106,30400.0,30400.0,30500.0
2938,200106,59,21400.0,36600.0,27000.0
1139,198810,85,37900.0,53600.0,46500.0
9906,199403,104,40000.0,50000.0,46000.0
1283,198810,35,14800.0,20600.0,17000.0
858,199706,106,51700.0,51700.0,51500.0
1412,198809,87,35900.0,49200.0,43000.0
2922,199111,56,16300.0,25300.0,20500.0
16155,199612,111,54500.0,54500.0,54500.0
9908,199609,98,31000.0,39500.0,35000.0
2942,199009,54,16600.0,25100.0,21000.0
595,198906,61,23500.0,58200.0,37500.0
9907,199609,126,37000.0,45500.0,41500.0
422,198906,71,33600.0,51200.0,39500.0
33074,198807,55,19200.0,42700.0,33000.0
710,198910,56,17300.0,26700.0,21500.0
18263,200806,116,50000.0,50000.0,50000.0
2943,199912,79,30900.0,52200.0,43500.0
2944,199303,132,54000.0,57100.0,55500.0
2945,199707,94,48800.0,55600.0,53500.0
711,198910,55,17000.0,28700.0,21000.0
547,199306,131,55900.0,61300.0,57500.0
4300,199912,80,28000.0,53300.0,34500.0
33345,201603,86,28600.0,52900.0,38000.0
53,199101,93,31800.0,34400.0,33000.0
2760,199412,46,15200.0,24000.0,19000.0
341,199307,122,69700.0,73300.0,72500.0
2767,198804,115,35500.0,35500.0,35500.0
1088,199303,70,21500.0,21500.0,21500.0
708,199412,51,16800.0,27700.0,24000.0
2897,199506,44,15000.0,21900.0,17000.0
7139,199504,79,36100.0,36100.0,36000.0
5619,200109,46,16100.0,53400.0,38500.0
3703,198805,46,12100.0,34100.0,21500.0
10485,200503,75,30200.0,34700.0,32500.0
2919,199506,52,14700.0,24500.0,19500.0
16694,200609,69,25500.0,36500.0,33500.0
55,199512,105,60400.0,60400.0,60500.0
3759,199601,81,42200.0,59500.0,48500.0
2722,199512,76,29200.0,45900.0,33500.0
36410,201702,77,35000.0,55900.0,44000.0
2870,198805,45,13900.0,39000.0,22000.0
2921,199306,136,66800.0,95400.0,79500.0
6342,200308,91,32400.0,37000.0,34500.0
9868,199904,84,31100.0,32700.0,32000.0
5899,200203,99,46700.0,56400.0,51000.0
1146,199607,104,59500.0,59500.0,59500.0
