id	lat	lng	households	buildDate	score	m2	p	min_sales	max_sales	avg_sales
2766	37.68160372	127.0565917	492	200006	4.3	139	42	60100	62000	61000
5860	37.6792898	127.0570207	468	200105	4.1	105	32	48600	52200	51000
15564	37.67688187	127.0580753	57	200502	4.8	86	26	36000	46000	40500
3700	37.67527716	127.0600011	216	199509	4.8	102	31	34000	34800	34500
6204	37.67638079	127.0583606	165	200306	4.8	91	28	27900	50300	40000
3697	37.67735438	127.0572686	299	200004	4.4	84	25	29200	39000	34500
19203	37.67659042	127.0571138	45	200905	4	126	38	36500	64600	63000
3699	37.67383553	127.0601315	290	199704	3.9	84	25	24300	40400	31000
948	37.68109689	127.0537572	1391	199811	4	54	16	17100	26600	23500
15206	37.67996178	127.053507	1313	199810	4	53	16	15800	26000	22500
19851	37.6860596	127.053443	548	200911	3.8	79	24	36900	41200	40000
10023	37.67461549	127.0570851	100	200411	4.5	90	27	34000	46800	44500
19850	37.68747591	127.0535532	696	200911	3.6	110	33	38700	40200	39500
3702	37.67298548	127.0592013	397	199510	4.1	102	31	30700	31100	31000
6705	37.67458711	127.0561375	175	200411	4.8	103	31	42500	45000	43000
2808	37.67738514	127.0531469	763	199410	3.7	59	18	13800	41500	30000
19849	37.69001654	127.0538271	473	200908	4.4	75	23	24100	39100	28500
21230	37.68437059	127.0507213	139	200212	3.4	109	33	33500	34400	34000
19848	37.68969289	127.0522714	680	200908	4	78	24	24300	40900	29500
3701	37.67197755	127.0568201	274	200006	4	76	23	33400	41500	38500
22483	37.6761026	127.0521167	30	200402	4	48	15	10500	25900	21000
13915	37.67701829	127.0514644	95	200205	3.7	76	23	24600	24900	24500
118	37.68252225	127.0496181	205	199112	3.8	101	31	27800	28100	28000
10246	37.68327911	127.0495279	147	200506	3.6	106	32	31400	31400	31500
14961	37.67117728	127.0572321	34	199711	0	97	29	35100	38000	36500
932	37.6820521	127.049177	286	199011	4.5	104	31	27400	27400	27500
5404	37.67812903	127.0497512	159	199909	4.4	84	25	28100	28500	28000
577	37.68105939	127.0488462	660	198710	3.9	97	29	23400	26500	24500
1021	37.6696098	127.05856	2265	198904	3.8	58	18	13600	39100	19000
2763	37.67195965	127.0812493	240	200606	3.8	85	26	19400	24400	21500
26666	37.6744955	127.0515579	37	199901	0	91	28	17500	47500	27000
2806	37.66740214	127.0675208	385	199506	4.1	84	25	22000	33000	30500
2804	37.67289123	127.0527628	331	199304	4.1	102	31	28700	28700	28500
6054	37.6748187	127.050927	230	200207	4.1	81	25	25300	56200	32000
4366	37.66728607	127.0688173	230	199505	4	102	31	34500	35200	34500
9948	37.687633	127.0486601	200	200212	4.7	106	32	32800	33900	33500
2840	37.66737208	127.0632409	939	198904	3.8	58	18	13600	21200	17500
2762	37.67443471	127.0504651	105	199602	3.4	74	22	20000	36900	25000
1437	37.67163697	127.052966	494	199904	3.7	102	31	33300	34200	34000
1284	37.6866928	127.047548	2678	199509	3.9	95	29	26700	31700	31000
7543	37.68472527	127.0471209	141	200410	3.7	100	30	30000	33800	33500
58188	37.6686747	127.0781537	87	200311	0	74	22	27200	32400	30000
6012	37.68151787	127.0469012	526	200303	4.3	113	34	33000	52100	40000
6702	37.67224298	127.0517196	142	199610	4.3	79	24	26400	29600	28000
5536	37.66629212	127.0675379	348	199005	4.1	83	25	24300	26100	25500
1445	37.67310837	127.0507045	106	199507	5	102	31	24000	24000	24000
2892	37.66608244	127.0686666	420	198703	4.3	63	19	17000	37200	22500
9155	37.67962237	127.0465237	448	200502	3.8	79	24	33000	40700	37000
3734	37.67626306	127.0476642	190	199812	3.4	81	25	18900	44500	28000
12106	37.6713926	127.0513971	117	200207	4.3	105	32	28400	28400	28500
2805	37.67227599	127.0504093	465	199312	3.7	85	26	29900	30600	30000
12370	37.66776924	127.0798574	42	200201	3.5	92	28	25000	35000	25500
20215	37.6745512	127.0476767	80	201012	4.5	108	33	28400	34900	30000
2811	37.6661668	127.0593183	1739	198810	3.9	58	18	15200	34200	21000
5535	37.66477818	127.0680443	471	198805	3.6	64	19	15400	24600	20000
2946	37.67343742	127.0480841	2450	199610	3.7	56	17	15100	18600	17500
2841	37.66915781	127.0525568	2392	198809	3.9	63	19	15900	37400	21500
2803	37.66695847	127.0796888	673	199911	3.7	83	25	25400	50600	34000
1388	37.6678293	127.0816166	826	199912	3.5	81	25	22400	53400	33500
38231	37.66514587	127.0747833	810	202001	0	64	19	36000	84000	46000
5534	37.6643673	127.064908	3315	198806	4	45	14	15400	34100	25500
10455	37.66590978	127.0796152	234	200106	4.6	106	32	36000	36000	36000
50365	37.6639767	127.062301	1062	202011	0	67	20	45000	95000	66500
2810	37.66582974	127.0558226	1944	198809	3.9	58	18	15200	35300	23500
80468	37.664792	127.077739	1163	202306	0	0	0	NaN	NaN	NaN
2765	37.66341186	127.0747163	675	198908	3.8	81	25	25200	34500	29000
2875	37.663338	127.060499	2830	198810	3.8	58	18	15100	33100	22000
2809	37.6639118	127.057042	2654	198809	4	52	16	15400	28600	21000
3698	37.66344618	127.0773956	634	200003	3.8	84	25	26400	41600	35000
10454	37.66311744	127.078574	602	200106	4.1	70	21	20200	25800	22500
2768	37.66168656	127.0731642	1590	198905	3.5	52	16	11900	32300	20500
6118	37.66214571	127.0765466	299	200212	4.2	82	25	33000	62400	46000
2941	37.66125635	127.0752899	167	199507	4.2	79	24	20500	40800	36500
13922	37.66143963	127.0761106	120	199807	4.3	79	24	22100	44800	30000
6013	37.66694346	127.0473363	603	200210	4.5	122	37	47600	53300	50500
5692	37.6650763	127.0481467	1278	200110	4.5	80	24	35200	79800	48000
2089	37.70239115	127.0482796	146	199901	3.9	78	24	19300	30500	23000
7531	37.70300739	127.048339	281	199811	4.4	79	24	17900	38600	23000
7530	37.70403781	127.0490428	700	200311	4.2	98	30	23500	45800	36500
81826	37.7042123	127.04757	176	201701	0	23	7	8200	13200	8300
69197	37.6625134	127.04596	33	200801	0	73	22	19500	25500	23000
17235	37.63799288	127.0242549	42	200511	3.7	111	34	11000	11000	11000
17018	37.63778389	127.0240419	34	200508	4	107	32	43500	43500	43500
24572	37.63839332	127.022193	38	201301	0	76	23	22500	45400	31500
9151	37.63867342	127.0270378	121	200504	4.2	52	16	17500	65500	37500
460	37.64237983	127.0189899	1454	199311	3.6	84	25	24600	40300	33500
5864	37.63345491	127.0270132	123	200507	3	76	23	28000	29600	29000
7116	37.64343596	127.0178889	146	199402	3.8	71	21	22700	42100	34500
18705	37.63567038	127.0309114	99	200906	4.5	112	34	49300	49300	49500
7121	37.64110451	127.0158171	96	198312	0	81	25	10000	11000	10500
5576	37.64144003	127.0318837	228	199812	3.7	80	24	29900	30300	30000
6485	37.63782518	127.0322537	99	199705	4	83	25	30200	32000	31000
24755	37.63269817	127.0266368	71	201308	5	42	13	21000	45800	40000
12060	37.64605804	127.026347	104	198112	3.5	72	22	13400	20000	15000
79846	37.6435548	127.031165	44	201907	0	56	17	27500	27500	27500
4211	37.64470812	127.0180614	690	200111	4	82	25	37600	56500	44000
18704	37.63583947	127.0320172	193	200906	4.2	112	34	50900	51300	51000
13989	37.64261457	127.0157177	66	198904	0	54	16	11500	14500	13000
7117	37.63169695	127.0234508	79	199807	0	99	30	32800	36500	33500
4206	37.64541802	127.0185511	110	200007	4.3	66	20	19600	44700	32000
10250	37.6404375	127.0341493	111	200406	4	79	24	35800	36900	36500
6055	37.64683611	127.0279835	407	200207	4	78	24	32700	47900	38500
9884	37.64143943	127.0340319	300	200208	4.1	75	23	32000	57600	39500
6207	37.64292804	127.033389	958	200307	4.2	105	32	42900	42900	43000
1385	37.63078467	127.0257933	231	199212	4.3	102	31	30300	30300	30500
1332	37.6459236	127.030539	824	198612	3.8	71	21	20800	31600	26000
22069	37.64788572	127.0240723	293	201404	3.9	77	23	33100	59000	43000
26350	37.63373566	127.0148697	30	197510	4	50	15	8500	16600	14000
15207	37.64731875	127.0291984	155	200612	3.9	76	23	30000	67000	36500
4344	37.63784942	127.0356708	183	199705	4.5	85	26	21900	52300	27500
836	37.64854116	127.0263026	103	199712	3.8	83	25	19700	24500	21000
116	37.64205635	127.0124273	574	199203	3.3	90	27	28600	43900	30000
4395	37.64930122	127.02793	87	199510	4.1	80	24	29500	30400	30000
17512	37.64979151	127.0272639	141	200704	4	76	23	37000	53000	46000
6015	37.64572784	127.034963	202	200207	3.9	113	34	29400	55600	48500
17506	37.62889393	127.0186829	208	200801	4	86	26	38200	44700	43500
231	37.6423717	127.037531	952	199511	4.2	76	23	26200	34300	31500
20026	37.63957129	127.038273	38	200505	4	110	33	31000	31000	31000
4368	37.64708284	127.0352265	158	199909	4	67	20	24100	29200	26500
5644	37.63150653	127.0355273	245	200109	4	82	25	31200	43600	37000
6664	37.65054421	127.0294399	76	200211	4	74	22	34300	36600	36000
314	37.65146428	127.0247624	495	198705	4	88	27	21100	26700	24500
144	37.63060558	127.0354181	284	199806	4	81	25	28100	39300	34000
120	37.65160063	127.0274958	315	199608	4	75	23	30300	31200	30500
6629	37.6515822	127.0291819	190	200404	4	109	33	46000	50700	49500
51865	37.64625518	127.0098807	53	201506	0	52	16	20000	31600	28000
11507	37.65236595	127.0212589	287	199506	3.9	95	29	25400	29500	28500
5862	37.62677955	127.0305271	105	200010	3.2	75	23	28500	36000	32500
84580	37.6461358	127.009355	55	202012	0	59	18	34500	50000	36000
4371	37.63900814	127.0410463	121	199904	3.6	82	25	23300	34600	27500
15652	37.62597822	127.0194072	306	200611	3.7	78	24	35900	63400	46500
7115	37.62661725	127.0310164	50	199007	4	60	18	17000	21400	19000
785	37.64074136	127.0418449	609	199807	4	54	16	13500	23000	19500
16871	37.62593603	127.0313016	117	200603	3.5	77	23	16500	35200	27000
1064	37.63085303	127.0392519	900	199104	3.8	56	17	16400	29200	23000
5759	37.64804752	127.0389618	50	200110	3	202	61	46400	65100	56000
68670	37.62761181	127.0118584	48	200112	0	70	21	15500	22000	21000
14469	37.63343231	127.0425568	213	200510	3.5	80	24	31400	34800	33500
20629	37.62427104	127.0311559	168	198712	5	56	17	13000	19500	17000
7122	37.65172221	127.0113637	89	199510	0	95	29	33300	34000	34000
6435	37.63293848	127.0428239	135	200406	3.4	75	23	26000	42700	35000
13983	37.62274038	127.0270048	48	199610	4.3	77	23	19300	36000	26500
9865	37.62736095	127.0388422	225	200509	4.5	109	33	40400	40400	40500
3871	37.6263811	127.0375186	430	200307	4.3	81	25	26300	44300	34000
11093	37.65379063	127.0135942	154	200506	4	92	28	34900	49500	43500
4342	37.65503425	127.0311869	142	199502	4.2	77	23	25700	41200	34000
10868	37.63132027	127.0429227	571	199711	3.7	55	17	14600	20400	18000
10249	37.65600463	127.0274883	96	200412	4.7	43	13	16000	42100	34000
1340	37.65589257	127.0289116	582	200203	3.7	95	29	34700	36300	34500
2920	37.63299199	127.0442922	410	199804	3.2	55	17	12800	22100	18500
4204	37.62508387	127.0369334	54	199602	3.5	75	23	28200	38800	31500
9149	37.6316118	127.0439651	233	200409	4.4	78	24	31900	39000	33000
150	37.65468736	127.0344731	83	198812	4.7	56	17	15800	16200	16000
7140	37.65070662	127.0407536	54	199205	0	147	44	32000	32000	32000
11979	37.62156562	127.0264607	98	200903	3.8	90	27	36500	36500	36500
900	37.65683834	127.0217407	558	199309	3.8	104	31	29500	30000	30000
4205	37.62501883	127.0374681	90	199706	4.5	71	21	23800	29500	26500
4348	37.64630127	127.0444633	160	199208	3.8	135	41	32600	55600	41000
2169	37.62617868	127.0393672	380	199909	3.7	81	25	23800	34100	28500
38663	37.6552033	127.013763	81	201902	0	42	13	21000	33500	29500
3760	37.65480609	127.035144	264	198803	4.5	62	19	15000	28700	17000
1339	37.65602148	127.0321347	414	199105	4.4	87	26	25100	54900	28000
13985	37.62452863	127.0376491	32	200106	0	84	25	29800	32300	30500
1140	37.6573725	127.026575	978	199506	3.6	86	26	24800	31000	30500
12320	37.63058091	127.0444086	225	200603	4	77	23	27300	37600	35000
4341	37.65736674	127.0282368	71	199501	4	84	25	17500	28300	22000
143	37.65729809	127.028953	386	199112	4.2	85	26	22600	36900	30500
1341	37.65601379	127.0338527	408	199309	3.6	82	25	23400	32700	30500
1326	37.62637628	127.0411617	261	199211	4.3	100	30	30400	30400	30500
2962	37.65795515	127.0238625	658	199207	3.1	73	22	22800	30500	27000
1337	37.657038	127.0313237	1635	198811	3.8	38	11	13100	28200	19500
2947	37.65348572	127.0393771	808	199009	3.6	57	17	16500	27100	20500
2171	37.62395906	127.0380974	167	199808	3.8	79	24	32300	43600	36500
3872	37.65542347	127.0111421	260	200011	4.5	80	24	35700	40400	39500
4299	37.62967242	127.045201	154	199804	3.7	83	25	22300	37700	31000
2170	37.62747459	127.0436591	263	200002	3.9	82	25	22000	31500	24500
1053	37.6500962	127.04434	2856	199009	4	58	18	16500	32500	24000
644	37.65841172	127.0289035	498	198910	3.7	86	26	28400	32500	31000
2960	37.6588143	127.025261	318	199806	4.5	78	24	24700	32700	28000
14962	37.62920737	127.0455497	75	198812	0	71	21	14500	21500	17000
743	37.65910847	127.0235184	660	199209	3.6	88	27	27800	49200	35500
1043	37.65273509	127.0423004	750	199007	4.1	52	16	14700	22700	18000
554	37.6572441	127.035182	1541	198812	3.5	55	17	12900	34900	23000
4343	37.6585625	127.0312019	783	199010	3.9	56	17	14600	30500	27000
2172	37.62582776	127.0431869	285	200006	3.9	82	25	23100	31900	27500
51413	37.6197952	127.033205	203	202204	0	0	0	NaN	NaN	NaN
1432	37.65930148	127.0305268	192	199311	3.8	101	31	31400	31400	31500
4512	37.65400725	127.0423646	694	198711	3.6	60	18	15500	36600	28000
6002	37.6208004	127.0113907	2075	200408	3.8	74	22	27600	42600	35500
744	37.66028705	127.0230563	210	199209	3.4	93	28	29500	29900	29500
10951	37.65604426	127.0401264	123	200511	4.3	64	19	25900	25900	26000
142	37.65906282	127.0334733	690	199009	4	48	15	15900	33400	24500
13932	37.6531669	127.0441183	427	198802	3.9	63	19	16800	33500	23000
12061	37.65831252	127.0357985	136	199812	4.7	86	26	29000	35900	31500
8139	37.65579173	127.0408697	205	200005	4.7	79	24	29500	40500	34500
4301	37.65891451	127.0353545	38	199906	3.7	259	78	70900	71600	71000
462	37.66005799	127.0316967	489	199109	3.6	63	19	19400	34000	24000
2173	37.62482893	127.0446272	202	200012	4.3	79	24	24500	29800	28000
24848	37.65757634	127.0388852	57	200403	3.5	52	16	9000	45500	32000
740	37.66066765	127.0293986	3169	198612	3.8	62	19	13300	45700	23000
5863	37.61720574	127.0221052	216	199810	3.9	85	26	29800	49000	37000
38154	37.6187858	127.034388	1028	201909	5	62	19	39500	96000	60000
19691	37.6177652	127.0169313	1370	201110	4	84	25	34800	58000	48000
1141	37.65963916	127.034489	236	199607	4.4	105	32	31600	31600	31500
6237	37.65647257	127.0417359	299	200401	3.7	113	34	43500	74100	49500
16932	37.65572254	127.0428642	194	200707	4.7	105	32	45600	47000	46500
5686	37.61844324	127.0130395	3830	200405	3.8	81	25	33500	41600	38000
6168	37.65346181	127.0457231	205	200310	4.3	95	29	45000	52000	46000
241	37.65988387	127.0356632	160	198908	3.2	59	18	12400	15200	14500
12324	37.65841205	127.0401005	40	200311	4	63	19	21900	23300	22500
79328	37.66091832	127.0352784	70	201906	0	58	18	39700	48900	45000
36409	37.6172715	127.036353	615	201702	4.7	83	25	39800	66200	47000
6206	37.65615755	127.0457067	456	200309	4.4	78	24	34900	64000	48500
5373	37.66023585	127.0394532	82	200105	4.5	89	27	23700	23700	23500
6288	37.65790985	127.0436316	2061	200407	4.3	112	34	51400	74500	55500
9079	37.6185842	127.007303	1971	200512	3.8	79	24	26400	45900	35500
37079	37.6197054	127.045891	513	201710	4.2	76	23	46800	72000	52000
3834	37.61956117	127.0020842	261	199905	3.5	71	21	21000	38100	27000
11143	37.61765409	127.0429511	31	200212	0	106	32	30400	30400	30500
2938	37.61802225	127.0034252	791	200106	3.9	59	18	21400	36600	27000
1139	37.63786724	127.0687086	660	198810	4.5	85	26	37900	53600	46500
9906	37.63999307	127.0695671	160	199403	4.7	104	31	40000	50000	46000
1283	37.6374209	127.069304	1200	198810	4.1	35	11	14800	20600	17000
858	37.6394516	127.070875	700	199706	4.6	106	32	51700	51700	51500
1412	37.63684866	127.0663828	1320	198809	4.4	87	26	35900	49200	43000
2922	37.64271576	127.0665829	2433	199111	3.8	56	17	16300	25300	20500
16155	37.63960918	127.0726667	39	199612	4	111	34	54500	54500	54500
9908	37.63667245	127.0718753	68	199609	4	98	30	31000	39500	35000
2942	37.64191545	127.0637397	3481	199009	4.1	54	16	16600	25100	21000
595	37.6387861	127.062487	1890	198906	4.2	61	18	23500	58200	37500
9907	37.6352605	127.0705642	80	199609	4.4	126	38	37000	45500	41500
422	37.63468087	127.0695395	685	198906	4.3	71	21	33600	51200	39500
33074	37.63544464	127.0642395	1980	198807	4.2	55	17	19200	42700	33000
710	37.63370158	127.0678664	1880	198910	4	56	17	17300	26700	21500
18263	37.64500358	127.0677815	219	200806	4.4	116	35	50000	50000	50000
2943	37.63575926	127.0616053	2340	199912	4	79	24	30900	52200	43500
2944	37.63980918	127.0755583	498	199303	3.7	132	40	54000	57100	55500
2945	37.6444649	127.072035	730	199707	4.2	94	28	48800	55600	53500
711	37.63248142	127.0713002	1192	198910	3.6	55	17	17000	28700	21000
547	37.63906582	127.0770305	396	199306	3.9	131	40	55900	61300	57500
4300	37.63745828	127.0773143	288	199912	4	80	24	28000	53300	34500
33345	37.64289856	127.0589981	457	201603	4.4	86	26	28600	52900	38000
53	37.6470452	127.0661	742	199101	4.2	93	28	31800	34400	33000
2760	37.6304164	127.068034	660	199412	3.6	46	14	15200	24000	19000
341	37.64683099	127.0734352	568	199307	4.1	122	37	69700	73300	72500
2767	37.64622543	127.0609522	600	198804	4.5	115	35	35500	35500	35500
1088	37.64631443	127.0753292	696	199303	3.8	70	21	21500	21500	21500
708	37.62987899	127.0719276	525	199412	4.2	51	15	16800	27700	24000
2897	37.63173104	127.0596851	884	199506	3.8	44	13	15000	21900	17000
7139	37.64809607	127.0732823	330	199504	3.3	79	24	36100	36100	36000
5619	37.62916481	127.0668155	1601	200109	4.2	46	14	16100	53400	38500
3703	37.64789053	127.0607949	2064	198805	3.9	46	14	12100	34100	21500
10485	37.63173891	127.0583483	205	200503	4	75	23	30200	34700	32500
2919	37.62941584	127.0625154	713	199506	3.9	52	16	14700	24500	19500
16694	37.63280631	127.0570577	65	200609	0	69	21	25500	36500	33500
55	37.64843016	127.0749869	948	199512	4.3	105	32	60400	60400	60500
3759	37.65016309	127.0700389	402	199601	4.1	81	25	42200	59500	48500
2722	37.62856306	127.0727284	363	199512	3.7	76	23	29200	45900	33500
36410	37.64048767	127.0537415	326	201702	4	77	23	35000	55900	44000
2870	37.6503434	127.065021	2136	198805	4	45	14	13900	39000	22000
2921	37.64745166	127.0778232	400	199306	4.3	136	41	66800	95400	79500
6342	37.62794071	127.0708745	88	200308	4.8	91	28	32400	37000	34500
9868	37.62922092	127.0753709	215	199904	3.5	84	25	31100	32700	32000
5899	37.6275448	127.069986	342	200203	4.5	99	30	46700	56400	51000
1146	37.6498289	127.074331	780	199607	4.2	104	31	59500	59500	59500
2761	37.6272681	127.0686127	840	199412	3.9	44	13	15500	24400	18500
22780	37.62919512	127.0762635	41	200912	4	56	17	14000	46300	37000
827	37.65118271	127.0705249	508	199812	3.8	81	25	51400	61400	55000
1085	37.64709724	127.0796676	630	199303	3.8	60	18	15800	15800	16000
38238	37.6300843	127.057203	859	201911	5	83	25	50000	64500	59500
9969	37.62903579	127.058677	223	200506	4.4	78	24	29800	45800	37000
1327	37.65165304	127.0674204	492	198805	4	103	31	37600	51900	39000
11726	37.64501989	127.0818454	49	200505	3.3	101	31	42300	49100	48500
16825	37.62752084	127.0738285	61	200506	4	101	31	42500	58300	56500
1022	37.64420729	127.0533816	1980	198907	3.4	52	16	13600	19800	14500
3962	37.62665092	127.0701573	190	199910	4.6	86	26	38900	48900	42000
828	37.65144134	127.0719394	250	199906	4.1	87	26	39100	49200	45000
2842	37.6497384	127.058947	2029	198711	3.6	45	14	14100	31400	22000
1079	37.64878112	127.0784184	600	199303	3.4	60	18	17300	17300	17500
4308	37.6277579	127.075093	153	200002	5	80	24	20600	27400	24000
3705	37.62652099	127.0641578	910	198707	3.6	67	20	17500	22200	19000
14952	37.62635856	127.0709047	48	200301	3.5	38	11	14500	52100	33500
10245	37.62631136	127.0714711	49	200208	0	79	24	28700	43800	36000
2759	37.62808113	127.0768424	452	199912	4	84	25	28000	52900	36500
18826	37.62608502	127.0703018	79	200607	3.8	69	21	21000	43000	32500
138	37.64702767	127.0812765	424	199701	4.1	76	23	33200	45500	39000
4309	37.62755192	127.0759582	68	199702	4	81	25	30000	45100	33000
773	37.64975414	127.0784693	468	199305	4.3	124	38	70000	76700	73500
1174	37.65270038	127.0698283	215	199712	3.8	82	25	29200	51600	40000
2871	37.6525288	127.064082	840	198711	4	37	11	11400	11400	11500
7579	37.6256804	127.071919	138	200211	4.2	101	31	38100	44100	41500
4340	37.65241734	127.0730282	213	199906	3.6	37	11	15500	45400	39500
1454	37.64544296	127.0835342	453	199905	4.1	82	25	25800	53200	37000
277	37.62807635	127.0786187	295	199604	3.7	81	25	30100	50700	40500
